Subject,Test1,Accuracy,"Test2,Test3",RT,Condition
6,"1,2",1,,596.1316858,1
6,,1,,594.3572286,2
6,what,1,,586.8781791,2
6,"is,this",1,,589.7205787,2
6,,1,"1,2",581.6262989,2
6,",",0,,,2
6,15,1,what,581.9286751,1
6,"""odd""",1,"is,this",585.3988771,1
6,,0,,,2
6,"1,2,3",1,",",562.2236945,2
6,,1,15,557.8653169,1
6,,1,"""odd""",570.9363383,1
6,"""unusual",1,,570.7777993,2
6,,1,"1,2,3",588.8818935,2
6,"okay""",1,,571.7225319,2
6,,1,,595.1143944,2
6,,1,"""unusual",572.0939885,2
6,,1,,577.7764317,2
6,,1,"okay""",595.695451,1
6,,0,,,1
